Station,OS X,OS Y,Latitude,Longitude,Zone
Cockfosters,528087,196424,51.6520244968,-0.1499022586,5
Colindale,521295,189937,51.5952305463,-0.2502731093,4
Colliers Wood,526831,170436,51.418759209,-0.177400721,3
Covent Garden,530242,180982,51.5127602496,-0.1244924862,1
Croxley,507921,195395,51.6470053339,-0.4415893477,7
Dagenham East,550284,185033,51.5441873181,0.16584785,5
Dagenham Heathway,549035,184665,51.5412117723,0.1476941376,5
Debden,544275,196133,51.6454919909,0.0838159253,6
Dollis Hill,522207,185132,51.5518506195,-0.238783341,3
Ealing Broadway,517920,180915,51.5148620115,-0.3019959725,3
Ealing Common,518963,180426,51.5102486905,-0.2871370104,3
Earls Court,525457,178480,51.4913566953,-0.1942994077,1/2
East Acton,521656,181159,51.5162634442,-0.2480978154,2
East Finchley,527242,189204,51.5873325644,-0.1647294541,3
East Ham,542373,184255,51.539246158,0.0515307101,3/4
East Putney,524387,174840,51.4588798089,-0.2109838428,2/3
Eastcote,511191,187627,51.5765518715,-0.3968088711,5
Edgware,519527,192009,51.6142296555,-0.2750792261,5
Edgware Road (Bakerloo),527026,181778,51.5206453817,-0.1705251407,1
Edgware Road (Circle/District/Hammersmith and City),527227,181711,51.5199980632,-0.1676538436,1
Elephant and Castle,531940,179144,51.4958493943,-0.1007243117,1/2
Elm Park,552446,185647,51.5491245594,0.1972671018,6
Embankment,530406,180380,51.5073125093,-0.1223529298,1
Epping,546197,201552,51.6936861516,0.1138400185,6
Euston,529587,182735,51.5286643464,-0.1332820584,1
Euston Square,529587,182735,51.5286643464,-0.1332820584,1
Fairlop,544902,190655,51.5961095315,0.0906077142,4
Farringdon,531585,181844,51.5201957006,-0.1048286512,1
Finchley Central,525232,190664,51.6009032738,-0.1932062006,4
Finchley Road,526293,184703,51.5470962203,-0.1800361413,2
Finsbury Park,531385,186784,51.5646354581,-0.1058670614,2
Fulham Broadway,525402,177244,51.480260927,-0.1955297656,2
Gants Hill,543266,188432,51.5765529434,0.0660985264,4
Gloucester Road,526196,178848,51.4944995797,-0.1835291569,1
Golders Green,525199,187471,51.5722155567,-0.194820132,3
Goldhawk Road,523131,179616,51.502076994,-0.2273896013,2
Goodge Street,529505,181837,51.5206131255,-0.1347932793,1
Grange Hill,544963,192590,51.6134804138,0.0922869699,4
Great Portland Street,528861,182174,51.5237888131,-0.1439470134,1
Green Park,529012,180283,51.5067605015,-0.1424631691,1
Greenford,514808,183861,51.5419801128,-0.3458643227,4
Gunnersbury,519843,178401,51.4918634447,-0.2751497341,3
Hainault,545124,191411,51.6028453149,0.0941229872,4
Hammersmith (District),523474,178483,51.4918198029,-0.222846527,2
Hammersmith (Met.),523346,178665,51.4934833792,-0.2246257552,2
Hampstead,526408,185757,51.5565426167,-0.1780001377,2
Hanger Lane,518506,182621,51.5300720691,-0.2929817318,3
Harlesden,520952,183367,51.5362583588,-0.2574812585,3
Harrow and Wealdstone,515486,189508,51.5925946732,-0.3342382516,5
Harrow-on-the-Hill,515329,188035,51.5793881596,-0.3369870881,5
Hatton Cross,509614,175369,51.4666853556,-0.4233661699,5/6
Heathrow Terminal 4,507939,174565,51.4597804841,-0.4477151986,6
Heathrow Terminal 5,504934,175642,51.4700254856,-0.4906331087,6
Heathrow Terminals 1 2 3,507587,175838,51.4712894557,-0.4523928306,6
Hendon Central,522959,188631,51.5831330741,-0.2267197095,3/4
High Barnet,525027,196310,51.6516882767,-0.1941509278,5
High Street Kensington,525622,179527,51.5007294684,-0.191551653,1
Highbury and Islington,531562,184770,51.5464955189,-0.1040677208,2
Highgate,528503,188158,51.5776466348,-0.1469204333,3
Hillingdon,507567,185015,51.5537775707,-0.4498835725,6
Holborn,530553,181488,51.5172357493,-0.1198260976,1
Holland Park,524564,180215,51.5071465087,-0.2065433713,2
Holloway Road,530930,185457,51.5528161167,-0.1129212759,2
Hornchurch,553931,186274,51.5543550822,0.2189414181,6
Hounslow Central,513592,175928,51.4709258103,-0.3659437342,4
Hounslow East,514327,176254,51.4737079375,-0.355260926,4
Hounslow West,512215,176140,51.4731057626,-0.385693233,5
Hyde Park Corner,528330,179801,51.5025840309,-0.1524597088,1
Ickenham,508127,185811,51.5608251071,-0.4415650894,6
Kennington,531660,178337,51.4886624707,-0.1050562126,2
Kensal Green,523241,182784,51.5305242412,-0.2246989701,2
Kensington (Olympia),524324,179178,51.4978797245,-0.2103648387,2
Kentish Town,529029,185096,51.5500095384,-0.1404568437,2
Kenton,516833,188304,51.581496322,-0.3152024366,4
Kew Gardens,519173,176708,51.4767891708,-0.2853666145,3/4
Kilburn,524589,184644,51.54694446,-0.2046183,2
Kilburn Park,525361,183349,51.5351355602,-0.1939516417,2
Kings Cross St. Pancras,530236,182935,51.5303124769,-0.1238577156,1
Kingsbury,519361,188739,51.5848765507,-0.2785871772,4
Knightsbridge,527765,179650,51.5013549168,-0.1606500813,1
Ladbroke Grove,524284,181328,51.5172106987,-0.2101837627,2
Lambeth North,531165,179489,51.4991299591,-0.111753857,1
Lancaster Gate,526711,180796,51.5118909641,-0.1754155205,1
Latimer Road,523789,180954,51.5139581247,-0.2174452573,2
Leicester Square,529987,180812,51.5112911968,-0.1282277396,1
Leyton,538295,186244,51.5581322705,-0.0064509088,3
Leytonstone,539345,187429,51.5685222874,0.009154878,3/4
Liverpool Street,533160,181596,51.5175982739,-0.0822352123,1
London Bridge,532937,180152,51.5046743576,-0.0859911923,1
Loughton,542314,195641,51.6415704704,0.0552935283,6
Maida Vale,525967,182792,51.529995079,-0.1854182331,2
Manor House,532074,187482,51.5707471515,-0.0956705495,2/3
Mansion House,532347,180962,51.5120917612,-0.0941832495,1
Marble Arch,527875,181056,51.5139655107,-0.1585568075,1
Marylebone,527510,181985,51.522396688,-0.1634781524,1
Mile End,536577,182545,51.5253109739,-0.0326516719,2
Mill Hill East,524057,191460,51.6083166699,-0.2098812743,4
Monument,532907,180814,51.510630426,-0.0861739059,1
Moor Park,508563,193509,51.6299307181,-0.4328985823,6/7
Moorgate,532688,181677,51.5184371494,-0.0890032776,1
Morden,525664,168563,51.402185985,-0.1948376081,4
Mornington Crescent,529193,183359,51.5343622339,-0.1387299346,2
Neasden,521415,185422,51.5546277472,-0.2501006238,3
Newbury Park,544947,188378,51.5756383443,0.090317586,4
North Acton,520831,181937,51.5234324588,-0.2597151162,2/3
North Ealing,518816,181243,51.5176223238,-0.2889791428,3
North Greenwich,539168,179827,51.5002551516,0.0036006636,2/3
North Harrow,513540,188578,51.584631343,-0.3626185624,5
North Wembley,517663,186198,51.5623963284,-0.3039337954,4
Northfields,517051,179296,51.5004917086,-0.3150504144,3
Northolt,513228,184519,51.5482129457,-0.3684261762,5
Northwick Park,516634,187967,51.5785087266,-0.3181849629,4
Northwood Hills,510267,190305,51.6008026951,-0.4092969219,6
Notting Hill Gate,525296,180481,51.5093753599,-0.1959072111,1/2
Oakwood,529349,195968,51.6476379762,-0.1318390887,5
Old Street,532764,182474,51.5255814819,-0.0876085453,1
Osterley,514529,177094,51.4812168528,-0.3520816978,4
Oval,531108,177516,51.4814126138,-0.1133066773,2
Oxford Circus,529102,181227,51.5152234192,-0.1408217621,1
Paddington,526680,181185,51.5153938065,-0.1757223428,1
Paddington,526680,181185,51.5153938065,-0.1757223428,1
Park Royal,519074,182274,51.5268340546,-0.284914505,3
Parsons Green,525029,176645,51.4749601768,-0.2011100959,2
Perivale,516404,183270,51.5363418604,-0.3230560063,4
Piccadilly Circus,529612,180625,51.5096967645,-0.1336971897,1
Pimlico,529711,178386,51.4895528779,-0.1330938573,1
Pinner,512233,189409,51.5923617244,-0.3812093569,5
Plaistow,540058,183305,51.5312883323,0.0177950563,3
Preston Road,518260,187292,51.5721037639,-0.2949575855,4
Putney Bridge,524476,175842,51.4678653627,-0.2093510226,2
Queens Park,524612,183239,51.5343126752,-0.2047837342,2
Queensbury,518802,189728,51.5938830101,-0.2863171635,4
Queensway,525883,180615,51.5104492554,-0.1874054954,1
Ravenscourt Park,522558,178711,51.494068009,-0.2359548307,2
Rayners Lane,512979,187538,51.5753967774,-0.3710463858,5
Redbridge,541833,188371,51.5763669113,0.0454084725,4
Regents Park,528765,182174,51.5238106905,-0.145329999,1
Richmond,518072,175174,51.4632329223,-0.3017247413,4
Rickmansworth,505717,194605,51.6403230722,-0.4736701358,7
Roding Valley,541612,192882,51.6169564401,0.0440406484,4
Royal Oak,525764,181485,51.5182943753,-0.1888092635,2
Ruislip,509510,187102,51.5721619722,-0.4212204991,6
Ruislip Gardens,510367,185763,51.5599602279,-0.4092796881,5
Ruislip Manor,510088,187258,51.5734516247,-0.4128349271,6
Russell Square,530207,182122,51.5230130529,-0.1245757861,1
Seven Sisters,533646,188927,51.5833621684,-0.0724523921,3
Shepherds Bush,523741,179904,51.5045321773,-0.2185047537,2
Shepherds Bush Market,523121,180039,51.5058807355,-0.2273860872,2
Sloane Square,528080,178657,51.4923597829,-0.1564744555,1
Snaresbrook,540161,188828,51.5808912706,0.0214783578,4
South Ealing,517605,179437,51.5016440579,-0.3070258402,3
South Kensington,526865,178817,51.4940713864,-0.1739086206,1
South Kenton,517350,187153,51.5710444868,-0.3081285506,4
South Ruislip,511080,185437,51.556890351,-0.3991014882,5
South Wimbledon,525828,170033,51.4153607329,-0.1919601685,3/4
South Woodford,540577,190026,51.5915526124,0.0279575117,4
Southfields,524730,173291,51.4448833383,-0.2065949986,3
Southgate,529675,194278,51.6323758634,-0.127755601,4
Southwark,531566,180025,51.5038536329,-0.1057805339,1
St. James's Park,529629,179503,51.4996098103,-0.1338643511,1
St. Johns Wood,526742,183352,51.5348544317,-0.1740504251,2
St. Pauls,532105,181261,51.5148353074,-0.0975565916,1
Stamford Brook,521913,178738,51.4944499973,-0.245231907,2
Stanmore,517574,192569,51.6196734807,-0.3030848509,5
Stepney Green,535566,182149,51.5219958389,-0.047368112,2
Stockwell,530473,176470,51.4721592703,-0.1228319086,2
Stonebridge Park,519690,184197,51.5439865874,-0.2753860234,3
Stratford,538533,184421,51.5416925793,-0.0037372234,3
Sudbury Hill,515427,185584,51.5573396001,-0.3363776928,4
Sudbury Town,516832,184955,51.5513974809,-0.3163290653,4
Swiss Cottage,526611,184259,51.5430348677,-0.1756121865,2
Temple,530995,180810,51.5110406207,-0.1137113424,1
Theydon Bois,545509,199180,51.67255207,0.1029051953,6
Tooting Bec,528015,172366,51.4358380832,-0.1596861081,3
Tooting Broadway,527415,171373,51.427049165,-0.168670146,3
Tottenham Court Road,529774,181354,51.5162108857,-0.1310960294,1
Tottenham Hale,534483,189465,51.587997785,-0.0601733905,3
Totteridge and Whetstone,526111,193951,51.6302467412,-0.1793398175,4
Tower Hill,533566,180805,51.5103942821,-0.0766867908,1
Tufnell Park,529200,185816,51.5564408143,-0.1377277529,2
Turnham Green,521267,178804,51.495181972,-0.2545101653,2
Turnpike Lane,531524,189650,51.590358146,-0.1027906082,3
Upminster,556167,186833,51.5587633252,0.2514152239,6
Upminster Bridge,555002,186681,51.5577187717,0.2345563112,6
Upney,545844,184260,51.5384056347,0.1015461606,4
Upton Park,541204,183931,51.5366281959,0.0345562556,3
Uxbridge,505698,184161,51.5464545647,-0.4770871411,6
Vauxhall,530366,177978,51.4857358164,-0.1238155529,1/2
Victoria,528941,179131,51.4964239699,-0.1439063031,1
Walthamstow Central,537286,188986,51.5830181153,-0.0199261144,3
Wanstead,540685,188176,51.5749021458,0.0287749005,4
Warren Street,529253,182272,51.5245800051,-0.1382639195,1
Warwick Avenue,526158,182030,51.5231044571,-0.1829388814,2
Waterloo,531050,179933,51.5031466531,-0.1132448466,1
Watford,509579,196610,51.6576051469,-0.4172555529,7
Wembley Central,518214,185039,51.5518648162,-0.2963779064,4
Wembley Park,519373,186341,51.5633224919,-0.2792281284,4
West Acton,519394,181273,51.5177701842,-0.2806427656,3
West Brompton,525383,178030,51.4873289382,-0.1955244115,2
West Finchley,525507,191601,51.6092627505,-0.1889026707,4
West Ham,539202,182974,51.5285255182,0.0053318073,3
West Hampstead,525524,184726,51.547474356,-0.1911121662,2
West Harrow,514163,187957,51.578924281,-0.3538322681,5
West Kensington,524635,178321,51.4901093872,-0.2061892935,2
West Ruislip,508364,186791,51.5695879247,-0.4378457196,6
Westbourne Park,524920,181764,51.5209888655,-0.2008681042,2
Westminster,530240,179718,51.5014016062,-0.1249876744,1
White City,523296,180750,51.5122324647,-0.2246175233,2
Whitechapel,534738,181859,51.5195877923,-0.0594060746,2
Whitechapel,534738,181859,51.5195877923,-0.0594060746,2
Willesden Green,523350,184884,51.5493733132,-0.2223931842,2/3
Willesden Junction,521905,182942,51.5322339929,-0.2438947288,3
Wimbledon,524791,170647,51.4211078698,-0.2066484564,3
Wimbledon Park,525274,172158,51.4345809765,-0.1991718915,3
Wood Green,531038,190427,51.5974537413,-0.1095121543,3
Wood Lane,523314,180464,51.5096582218,-0.2244582013,2
Woodford,540952,191778,51.6072018397,0.0340706407,4
Woodside Park,525725,192564,51.6178684221,-0.1854110631,4
